Date, Index 
29-Dec-17,3711.94
28-Dec-17,3711.64
27-Dec-17,3714.15
22-Dec-17,3719.38
21-Dec-17,3695.41
20-Dec-17,3696.15
19-Dec-17,3696.13
18-Dec-17,3690.50
15-Dec-17,3707.76
14-Dec-17,3706.37
13-Dec-17,3710.83
11-Dec-17,3731.79
08-Dec-17,3750.53
07-Dec-17,3752.17
06-Dec-17,3751.10
05-Dec-17,3769.34
04-Dec-17,3803.78
01-Dec-17,3815.61
30-Nov-17,3804.69
29-Nov-17,3820.74
27-Nov-17,3820.74
24-Nov-17,3833.00
23-Nov-17,3826.76
22-Nov-17,3839.46
21-Nov-17,3817.77
20-Nov-17,3779.16
17-Nov-17,3730.15
16-Nov-17,3743.10
15-Nov-17,3728.16
14-Nov-17,3719.17
13-Nov-17,3746.69
10-Nov-17,3752.15
09-Nov-17,3762.11
08-Nov-17,3768.38
07-Nov-17,3788.84
06-Nov-17,3797.96
03-Nov-17,3800.43
02-Nov-17,3776.83
01-Nov-17,3759.67
31-Oct-17,3729.62
30-Oct-17,3674.84
27-Oct-17,3648.31
24-Oct-17,3602.56
23-Oct-17,3541.56
19-Oct-17,3543.99
18-Oct-17,3591.62
17-Oct-17,3597.85
16-Oct-17,3623.76
13-Oct-17,3626.62
12-Oct-17,3640.14
11-Oct-17,3644.80
10-Oct-17,3696.77
09-Oct-17,3712.37
06-Oct-17,3693.22
05-Oct-17,3702.51
04-Oct-17,3691.87
03-Oct-17,3732.19
02-Oct-17,3732.16
29-Sep-17,3751.46
28-Sep-17,3716.72
27-Sep-17,3729.84
26-Sep-17,3733.04
25-Sep-17,3750.35
22-Sep-17,3764.44
21-Sep-17,3777.09
20-Sep-17,3783.69
19-Sep-17,3784.91
18-Sep-17,3780.61
15-Sep-17,3783.98
14-Sep-17,3813.78
13-Sep-17,3805.24
12-Sep-17,3849.45
11-Sep-17,3815.71
08-Sep-17,3839.99
07-Sep-17,3805.22
06-Sep-17,3786.92
05-Sep-17,3770.03
04-Sep-17,3806.80
01-Sep-17,3887.28
31-Aug-17,4027.12
30-Aug-17,4038.86
29-Aug-17,4042.08
28-Aug-17,4089.00
25-Aug-17,4069.20
24-Aug-17,4052.54
23-Aug-17,4028.56
22-Aug-17,4013.71
21-Aug-17,4007.55
18-Aug-17,3992.76
17-Aug-17,4045.89
16-Aug-17,4069.34
15-Aug-17,4114.01
14-Aug-17,4076.94
11-Aug-17,3976.98
10-Aug-17,3903.29
09-Aug-17,3850.13
07-Aug-17,3818.27
04-Aug-17,3775.89
03-Aug-17,3773.52
02-Aug-17,3741.46
01-Aug-17,3742.50
31-Jul-17,3797.53
28-Jul-17,3798.63
27-Jul-17,3764.74
26-Jul-17,3768.38
25-Jul-17,3729.81
24-Jul-17,3712.13
21-Jul-17,3700.44
20-Jul-17,3683.24
19-Jul-17,3674.96
18-Jul-17,3679.43
17-Jul-17,3658.65
14-Jul-17,3642.90
13-Jul-17,3659.28
12-Jul-17,3632.82
11-Jul-17,3600.60
10-Jul-17,3594.41
07-Jul-17,3604.06
06-Jul-17,3580.52
05-Jul-17,3568.80
04-Jul-17,3560.51
03-Jul-17,3583.41
30-Jun-17,3607.18
29-Jun-17,3596.56
28-Jun-17,3609.21
27-Jun-17,3616.31
23-Jun-17,3623.83
22-Jun-17,3612.55
21-Jun-17,3608.15
20-Jun-17,3600.01
19-Jun-17,3582.76
16-Jun-17,3541.35
15-Jun-17,3522.79
14-Jun-17,3506.90
13-Jun-17,3487.45
12-Jun-17,3469.08
09-Jun-17,3468.68
08-Jun-17,3474.78
07-Jun-17,3472.96
06-Jun-17,3457.29
05-Jun-17,3480.78
02-Jun-17,3473.19
31-May-17,3441.05
30-May-17,3438.17
29-May-17,3438.20
26-May-17,3442.38
25-May-17,3410.89
24-May-17,3376.58
23-May-17,3317.16
22-May-17,3296.16
19-May-17,3285.49
18-May-17,3244.69
17-May-17,3226.43
16-May-17,3221.19
15-May-17,3229.30
12-May-17,3244.72
11-May-17,3195.70
10-May-17,3175.41
09-May-17,3141.69
08-May-17,3154.38
05-May-17,3147.04
04-May-17,3144.38
03-May-17,3134.15
02-May-17,3139.03
28-Apr-17,3157.38
27-Apr-17,3164.36
26-Apr-17,3162.37
25-Apr-17,3137.41
24-Apr-17,3143.15
21-Apr-17,3128.69
20-Apr-17,3149.33
19-Apr-17,3129.78
18-Apr-17,3101.89
13-Apr-17,3102.71
12-Apr-17,3109.78
11-Apr-17,3104.43
10-Apr-17,3092.61
07-Apr-17,3104.89
06-Apr-17,3101.19
05-Apr-17,3101.12
04-Apr-17,3096.83
03-Apr-17,3106.21
31-Mar-17,3112.52
30-Mar-17,3122.51
29-Mar-17,3128.44
28-Mar-17,3109.01
27-Mar-17,3098.16
24-Mar-17,3077.81
23-Mar-17,3082.85
22-Mar-17,3037.16
21-Mar-17,3007.90
20-Mar-17,2990.70
17-Mar-17,2983.68
16-Mar-17,2965.31
15-Mar-17,2970.98
14-Mar-17,2974.01
13-Mar-17,2970.53
10-Mar-17,2963.08
09-Mar-17,2951.15
08-Mar-17,2947.93
07-Mar-17,2963.56
06-Mar-17,2963.01
03-Mar-17,2961.78
02-Mar-17,2969.12
01-Mar-17,2966.16
28-Feb-17,2994.53
27-Feb-17,3033.33
24-Feb-17,3023.07
23-Feb-17,3009.19
22-Feb-17,2983.20
21-Feb-17,2964.48
20-Feb-17,2945.33
17-Feb-17,2948.75
16-Feb-17,2971.50
15-Feb-17,2952.33
14-Feb-17,2941.46
13-Feb-17,2933.69
10-Feb-17,2951.62
09-Feb-17,2933.09
08-Feb-17,2908.87
07-Feb-17,2882.74
06-Feb-17,2867.39
03-Feb-17,2862.39
02-Feb-17,2833.09
01-Feb-17,2801.85
31-Jan-17,2794.27
30-Jan-17,2789.64
27-Jan-17,2812.04
