Issue Date,Issue No,Tenor,Weighted Average Rate
25-12-17,2244,91,8.005
25-12-17,2217,182,10.583
25-12-17,2156,364,11.128
18-12-17,2243,91,8.001
18-12-17,2155,182,10.529
18-12-17,2216,364,11.087
11-12-17,2242,91,8.011
11-12-17,2215,182,10.522
11-12-17,2154,364,11.076
04-12-17,2241,91,8.011
04-12-17,2214,182,10.478
04-12-17,2153,364,11.045
27-11-17,2240,91,8.011
27-11-17,2213,182,10.481
27-11-17,2151,364,11.019
20-11-17,2239,91,8.008
20-11-17,2212,182,10.483
20-11-17,2150,364,11.004
13-11-17,2238,91,8.015
13-11-17,2211,182,10.488
13-11-17,2149,364,11
06-11-17,2237,91,8.015
06-11-17,2210,182,10.433
06-11-17,2148,364,10.995
30-10-17,2236,91,8.011
30-10-17,2209,182,10.389
30-10-17,2147,364,10.989
23-10-17,2235,91,8.078
23-10-17,2208,182,10.314
23-10-17,2146,364,10.985
16-10-17,2234,91,8.097
16-10-17,2207,182,10.316
16-10-17,2145,364,10.989
09-10-17,2233,91,8.129
09-10-17,2206,182,10.319
09-10-17,2144,364,10.975
02-10-17,2232,91,8.13
02-10-17,2205,182,10.317
02-10-17,2143,364,10.958
25-09-17,2231,91,8.129
25-09-17,2142,182,10.959
25-09-17,2204,182,10.317
18-09-17,2230,91,8.134
18-09-17,2203,182,10.314
18-09-17,2141,364,10.93
11-09-17,2229,91,8.13
11-09-17,2202,182,10.313
11-09-17,2140,364,10.92
04-09-17,2228,91,8.139
04-09-17,2201,182,10.316
04-09-17,2139,364,10.922
28-08-17,2227,91,8.148
28-08-17,2200,182,10.314
28-08-17,2138,182,10.909
21-08-17,2226,91,8.153
21-08-17,2199,182,10.316
21-08-17,2137,364,10.906
14-08-17,2225,91,8.199
14-08-17,2198,182,10.32
14-08-17,2136,364,10.905
07-08-17,2224,91,8.196
07-08-17,2197,182,10.324
07-08-17,2135,364,10.889
31-07-17,2223,91,8.202
31-07-17,2196,182,10.321
31-07-17,2134,364,10.894
24-07-17,2222,91,8.205
24-07-17,2195,182,10.308
24-07-17,2133,364,10.887
17-07-17,2221,91,8.205
17-07-17,2194,182,10.323
17-07-17,2132,364,10.893
10-07-17,2220,91,8.221
10-07-17,2193,182,10.312
10-07-17,2131,364,10.889
03-07-17,2219,91,8.284
03-07-17,2192,182,10.329
03-07-17,2130,364,10.895
26-06-17,2218,91,8.31
26-06-17,2191,182,10.314
26-06-17,2129,364,10.868
19-06-17,2217,91,8.325
19-06-17,2128,364,10.863
19-06-17,2190,182,10.301
19-06-17,2217,91,8.325
12-06-17,2216,91,8.459
12-06-17,2189,182,10.326
12-06-17,2127,364,10.885
05-06-17,2215,91,8.54
05-06-17,2188,182,10.362
05-06-17,2126,364,10.914
29-05-17,2214,91,8.606
29-05-17,2187,182,10.374
29-05-17,2125,364,10.914
22-05-17,2213,91,8.677
22-05-17,2186,182,10.389
22-05-17,2124,364,10.914
15-05-17,2112,91,8.726
15-05-17,2185,182,10.407
15-05-17,2123,364,10.929
08-05-17,2211,91,8.759
08-05-17,2184,182,10.475
08-05-17,2122,364,10.926
01-05-17,2210,91,8.778
01-05-17,2121,364,10.938
24-04-17,2209,91,8.779
24-04-17,2119,364,10.924
17-04-17,2208,91,8.773
17-04-17,2118,364,10.925
10-04-17,2207,91,8.769
10-04-17,2117,364,10.925
03-04-17,2206,91,8.756
03-04-17,2116,364,10.919
06-03-17,2202,91,8.628
06-03-17,2183,182,10.525
06-03-17,2112,364,10.895
27-02-17,2201,91,8.618
27-02-17,2182,182,10.529
27-02-17,2111,364,10.899
20-02-17,2200,91,8.631
20-02-17,2181,182,10.524
20-02-17,2110,364,10.939
13-02-17,2199,91,8.656
13-02-17,2180,182,10.521
13-02-17,2109,364,10.94
30-01-17,2197,91,8.662
30-01-17,2178,182,10.535
30-01-17,2107,364,10.919
23-01-17,2196,91,8.661
23-01-17,2106,364,11.004
23-01-17,2177,182,10.533
16-01-17,2105,364,10.989
16-01-17,2176,182,10.463
16-01-17,2195,91,8.648
09-01-17,2104,364,11.01
09-01-17,2175,182,10.467
09-01-17,2194,91,8.552
02-01-17,2174,182,10.475
02-01-17,2193,91,8.553
26-12-16,2192,91,8.561
26-12-16,2173,182,10.493
26-12-16,2101,364,11.024
19-12-16,2191,91,8.484
19-12-16,2172,182,10.56
12-12-16,2190,91,8.359
12-12-16,2171,182,10.495
12-12-16,2100,364,11.093
05-12-16,2189,91,8.362
05-12-16,2170,182,10.462
05-12-16,2097,364,10.9
28-11-16,2169,182,10.371
28-11-16,2096,364,10.886
28-11-16,2188,91,8.326
21-11-16,2187,91,8.331
21-11-16,2168,182,10.36
21-11-16,2095,364,10.862
14-11-16,2167,182,10.302
14-11-16,2094,364,10.717
14-11-16,2186,91,7.96
14-11-16,2186,91,8.23
14-11-16,2167,182,10.302
14-11-16,2094,364,10.717
07-11-16,2166,182,10.296
07-11-16,2185,91,8.113
07-11-16,2093,364,10.609
31-10-16,2184,91,8.03
31-10-16,2165,182,10.27
31-10-16,2092,364,10.576
31-10-16,2165,182,10.27
31-10-16,2184,91,8.03
31-10-16,2092,364,10.576
24-10-16,2183,91,7.696
24-10-16,2164,182,10.357
24-10-16,2091,364,10.412
24-10-16,2183,91,7.696
24-10-16,2091,364,10.412
24-10-16,2164,182,10.357
17-10-16,2163,182,10.292
17-10-16,2090,364,10.329
17-10-16,2182,91,7.719
17-10-16,2163,182,10.292
17-10-16,2090,364,10.329
17-10-16,2182,91,7.719
10-10-16,2181,91,7.759
10-10-16,2162,182,10.34
10-10-16,2089,364,10.343
10-10-16,2089,364,10.343
10-10-16,2181,91,7.759
10-10-16,2162,182,10.34
03-10-16,2161,182,10.416
03-10-16,2088,364,10.417
03-10-16,2180,91,7.816
03-10-16,2088,364,10.417
03-10-16,2161,182,10.416
03-10-16,2180,91,7.816
26-09-16,2179,91,7.89
26-09-16,2087,364,10.599
26-09-16,2160,182,10.568
26-09-16,2160,182,10.568
26-09-16,2087,364,10.599
26-09-16,2179,91,7.89
19-09-16,2178,91,7.986
19-09-16,2159,182,10.753
19-09-16,2086,364,10.894
19-09-16,2086,364,10.894
19-09-16,2159,182,10.753
19-09-16,2178,91,7.986
12-09-16,2177,91,8.087
12-09-16,2158,182,10.943
12-09-16,2085,364,11.129
12-09-16,2177,91,8.087
12-09-16,2158,182,10.943
12-09-16,2085,364,11.129
05-09-16,2176,91,8.258
05-09-16,2157,182,11.125
05-09-16,2084,364,11.502
05-09-16,2176,91,8.258
05-09-16,2157,182,11.125
05-09-16,2084,364,11.502
29-08-16,2175,91,8.607
29-08-16,2156,182,11.182
29-08-16,2083,364,11.982
29-08-16,2083,364,11.982
29-08-16,2156,182,11.182
29-08-16,2175,91,8.607
22-08-16,2174,91,8.609
22-08-16,2155,182,11.02
22-08-16,2082,364,11.865
22-08-16,2082,364,11.865
22-08-16,2155,182,11.02
22-08-16,2174,91,8.609
15-08-16,2173,91,8.541
15-08-16,2154,182,10.811
15-08-16,2081,364,11.684
15-08-16,2081,364,11.684
15-08-16,2173,91,8.541
15-08-16,2154,182,10.811
08-08-16,2172,91,8.349
08-08-16,2153,182,10.696
08-08-16,2080,364,11.405
08-08-16,2153,182,10.696
08-08-16,2080,364,11.405
08-08-16,2172,91,8.349
01-08-16,2171,91,8.293
01-08-16,2152,182,10.474
01-08-16,2079,364,11.369
01-08-16,2152,182,10.474
01-08-16,2171,91,8.293
01-08-16,2079,364,11.369
25-07-16,2170,91,7.919
25-07-16,2151,182,10.205
25-07-16,2078,364,11.027
25-07-16,2151,182,10.205
25-07-16,2078,364,11.027
25-07-16,2151,182,10.205
25-07-16,2078,364,11.027
25-07-16,2151,182,10.205
25-07-16,2170,91,7.919
18-07-16,2169,91,7.649
18-07-16,2150,182,9.914
18-07-16,2077,364,10.869
18-07-16,2077,364,10.869
18-07-16,2169,91,7.649
18-07-16,2150,182,9.914
11-07-16,2168,91,7.027
11-07-16,2149,182,9.647
11-07-16,2076,364,10.952
11-07-16,2076,364,10.952
11-07-16,2149,182,9.647
11-07-16,2168,91,7.027
04-07-16,2167,91,7.045
04-07-16,2148,182,9.393
